,ID,Ticket,review_score,has_negative_word,negative_words
119,62bdf0a3e4b01da019f2e456.5,The lighting outside was poor as there was no lights situated where the dining table was so you ate in the dark.,-3,TRUE,poor
120,6331676fe4b0560d347107a2.2,Both bathrooms had problems with the light bulbs one crackled then finally stopped working the other had one of 2 lights not working.,-6,FALSE,"not working, problem"
121,63f8f842e4b0ad23b97be316.9,There is no outside light by the barbecue so you need someone to hold a torch to be able to see what you’re doing.,-1,FALSE,No negative words
122,612be3b5e4b035d3a0041a35.2,Our food was contaminated with ants On several occasions despite us sealing it with sellotape etc. Resorted to purchasing some Tupperware to keep Our food from being contaminated in the cupboards and even had to store cereal etc in our suitcases.,-4,FALSE,ants
123,6355a076e4b016ac3582eb70.4,This could be a personal inconvenience but we found the bathroom shutters bugs came in through mainly mosquitoes and we have been suffering since from rather excessive bites we would wake up covered regardless of using deet plug ins bug spray etc so I’d say be prepared and have that with you on arrival.,-3,FALSE,mosquito
126,62eff32ee4b0e8a76b507d0e.2,My elderly Mum struggled with the black tiles on staircase but there is a downstairs bedroom that limited use.,-3,FALSE,struggled
127,62eff32ee4b0e8a76b507d0e.3,All showers are 'over' baths which made it very difficult /inaccessible for our elderly parents to use.,-1,FALSE,No negative words
133,628a40ede4b09f7fbd15c592.17,From a pre-cleaning perspective (noting my bedside light was unplugged on arrival) a delve for the socket behind the headboard disclosed the area to be filthy with dust and hair.,-2,FALSE,No negative words
134,614b7fabe4b0da824960968c.0,Very easy and simple booking process however it said a booking deposit but charged me the whole amount  I didn’t see an option,-2,FALSE,No negative words
141,63413b02e4b02123d946861e.4,Polyester bedding worn and poor quality double duvet provided for a twin king size bed so we had to bring in the only other (single) duvet in the hotel which had a cover.,-1,TRUE,"poor, poor quality"
142,629dd054e4b0265c0a9b5ee8.5,2) The drains seem blocked which means that water from the kitchen and bathroom sink would often flow up into the bath and make it dirty.,-3,TRUE,dirty
144,62dfdf50e4b0734a61f952ea.4,When draining bath all the dirty water came up through a drain in the floor of the bathroom damaging our belongings.,-5,TRUE,dirty
145,616d5333e4b0cd65cb68041b.8,The hotel is advertised as having a wii games console but this was not in the hotel it says there is a dvd player which there is but there are no dvds to watch.,-1,FALSE,was not
146,62dd4362e4b0765299d59372.1,Pool table and table tennis we’re in poor repair with no functioning pool ques and no replacements provided when requested.,-4,TRUE,poor
